,PropertyName,ShortDesc,StationMiles,Description,AddedOrReduced,Agent,ContactNumber,PropertyValue
0,"Westmoreland Road, Bromley, Kent, BR2 0QS",5 bedroom detached house for sale,0.28 miles from station,This well located Victorian property will retain its façade to create a fantastic conversion allowing the old to blend with the new. The garden is approximately 80 feet long Permission granted fo...,Added on 14/10/2020,"Added on 14/10/2020 by Bishop Estate Agents , Orpington",01689 499740,"£1,600,000"
1,"Westmoreland Road, Bromley",5 bedroom detached house for sale,0.24 miles from station,This substantial detached family home has been extremely well maintained by the current vendors and has been extended to the ground floor to give excellent living space. No onward chain.,Added on 20/11/2020,"Added on 20/11/2020 by Kinleigh Folkard & Hayward - Sales, Bromley",020 8012 2743,"£1,500,000"
2,"Palace View, Bromley",4 bedroom detached house for sale,0.20 miles from station,A beautifully presented four double bedroom detached family home with driveway to the front plus a gated driveway and large garage to the rear with a gorgeous corner plot garden.,Added on 26/11/2020,"Added on 26/11/2020 by Kinleigh Folkard & Hayward - Sales, Bromley",020 8012 2743,"£950,000"
3,Ravensbourne Road Bromley BR1,4 bedroom detached house for sale,0.18 miles from station,"A spacious four bedroom detached family home with off-street parking, situated in the heart of Bromley. Energy Efficiency Rating E.",Added on 01/10/2020,"Added on 01/10/2020 by Langford Russell, Bromley",020 8012 2638,"£900,000"
4,"Bishops Avenue, Bromley",4 bedroom detached house for sale,0.49 miles from station,This well-proportioned four bedroom family home has been extremely well maintained by the current vendors and is located on the highly desirable Palace Estate.,Added on 03/09/2020,"Added on 03/09/2020 by Kinleigh Folkard & Hayward - Sales, Bromley",020 8012 2743,"£800,000"
5,"Cumberland Road, Bromley, Kent",4 bedroom detached house for sale,0.50 miles from station,"Four bedroom detached family home, a short walk from the sought after Highfield schools and about 0.7 of a mile from Bromley South Station. Generous 38' 2"" x 16' 2"" (max) living/dining room with double glazed doors to the landscaped garden. Off the hallway ...",Added on 19/10/2020,"Added on 19/10/2020 by Proctors, West Wickham",020 8012 2467,"£760,000"
6,"Bishops Avenue, Bromley",5 bedroom detached house for sale,0.50 miles from station,"A very well presented and spacious 4 double bedroom detached family home situated within the sought after, tree lined, Palace Estate residential area. This desirable cul de sac location offers excellent links into London via Bromley South station only 0.5 miles away. There are numerous...",Added on 11/11/2020,"Added on 11/11/2020 by SOLD.CO.UK, London",020 8012 5320,"£740,000"
7,"Oakham Drive, Bromley, BR2 0XE",4 bedroom link detached house for sale,0.49 miles from station,"Pleased to offer this spacious four bedroom family home. A mere 10 minute walk from Bromley South mainline train station in the heart of The London Borough of Bromley.
This link detached home well situated in a family friendly cul-de-sac is ideal for commuters and professionals loo...",Reduced on 21/10/2020,"Reduced on 21/10/2020 by emoov, Nationwide",020 3324 1605,"£700,000"
8,,Property,nan,,,,,
9,,Property,nan,,,,,
10,,Property,nan,,,,,
11,,Property,nan,,,,,
12,,Property,nan,,,,,
13,,Property,nan,,,,,
14,,Property,nan,,,,,
15,,Property,nan,,,,,
16,,Property,nan,,,,,
17,,Property,nan,,,,,
18,,Property,nan,,,,,
19,,Property,nan,,,,,
20,,Property,nan,,,,,
21,,Property,nan,,,,,
22,,Property,nan,,,,,
23,,Property,nan,,,,,
24,,Property,nan,,,,,
0,"Westmoreland Road, Bromley",5 bedroom detached house for sale,0.24 miles from station,This substantial detached family home has been extremely well maintained by the current vendors and has been extended to the ground floor to give excellent living space. No onward chain.,Added on 20/11/2020,"Added on 20/11/2020 by Kinleigh Folkard & Hayward - Sales, Bromley",020 8012 2743,"£1,500,000"
1,"Palace View, Bromley",4 bedroom detached house for sale,0.20 miles from station,A beautifully presented four double bedroom detached family home with driveway to the front plus a gated driveway and large garage to the rear with a gorgeous corner plot garden.,Added on 26/11/2020,"Added on 26/11/2020 by Kinleigh Folkard & Hayward - Sales, Bromley",020 8012 2743,"£950,000"
2,Ravensbourne Road Bromley BR1,4 bedroom detached house for sale,0.18 miles from station,"A spacious four bedroom detached family home with off-street parking, situated in the heart of Bromley. Energy Efficiency Rating E.",Added on 01/10/2020,"Added on 01/10/2020 by Langford Russell, Bromley",020 8012 2638,"£900,000"
3,,Property,nan,,,,,
4,,Property,nan,,,,,
5,,Property,nan,,,,,
6,,Property,nan,,,,,
7,,Property,nan,,,,,
8,,Property,nan,,,,,
9,,Property,nan,,,,,
10,,Property,nan,,,,,
11,,Property,nan,,,,,
12,,Property,nan,,,,,
13,,Property,nan,,,,,
14,,Property,nan,,,,,
15,,Property,nan,,,,,
16,,Property,nan,,,,,
17,,Property,nan,,,,,
18,,Property,nan,,,,,
19,,Property,nan,,,,,
20,,Property,nan,,,,,
21,,Property,nan,,,,,
22,,Property,nan,,,,,
23,,Property,nan,,,,,
24,,Property,nan,,,,,
0,"Westmoreland Road, Bromley, Kent, BR2 0QS",5 bedroom detached house for sale,0.28 miles from station,This well located Victorian property will retain its façade to create a fantastic conversion allowing the old to blend with the new. The garden is approximately 80 feet long Permission granted fo...,Added on 14/10/2020,"Added on 14/10/2020 by Bishop Estate Agents , Orpington",01689 499740,"£1,600,000"
1,"Westmoreland Road, Bromley",5 bedroom detached house for sale,0.24 miles from station,This substantial detached family home has been extremely well maintained by the current vendors and has been extended to the ground floor to give excellent living space. No onward chain.,Added on 20/11/2020,"Added on 20/11/2020 by Kinleigh Folkard & Hayward - Sales, Bromley",020 8012 2743,"£1,500,000"
2,"Palace View, Bromley",4 bedroom detached house for sale,0.20 miles from station,A beautifully presented four double bedroom detached family home with driveway to the front plus a gated driveway and large garage to the rear with a gorgeous corner plot garden.,Added on 26/11/2020,"Added on 26/11/2020 by Kinleigh Folkard & Hayward - Sales, Bromley",020 8012 2743,"£950,000"
3,Ravensbourne Road Bromley BR1,4 bedroom detached house for sale,0.18 miles from station,"A spacious four bedroom detached family home with off-street parking, situated in the heart of Bromley. Energy Efficiency Rating E.",Added on 01/10/2020,"Added on 01/10/2020 by Langford Russell, Bromley",020 8012 2638,"£900,000"
4,"Bishops Avenue, Bromley",4 bedroom detached house for sale,0.49 miles from station,This well-proportioned four bedroom family home has been extremely well maintained by the current vendors and is located on the highly desirable Palace Estate.,Added on 03/09/2020,"Added on 03/09/2020 by Kinleigh Folkard & Hayward - Sales, Bromley",020 8012 2743,"£800,000"
5,"Cumberland Road, Bromley, Kent",4 bedroom detached house for sale,0.50 miles from station,"Four bedroom detached family home, a short walk from the sought after Highfield schools and about 0.7 of a mile from Bromley South Station. Generous 38' 2"" x 16' 2"" (max) living/dining room with double glazed doors to the landscaped garden. Off the hallway ...",Added on 19/10/2020,"Added on 19/10/2020 by Proctors, West Wickham",020 8012 2467,"£760,000"
6,"Bishops Avenue, Bromley",5 bedroom detached house for sale,0.50 miles from station,"A very well presented and spacious 4 double bedroom detached family home situated within the sought after, tree lined, Palace Estate residential area. This desirable cul de sac location offers excellent links into London via Bromley South station only 0.5 miles away. There are numerous...",Added on 11/11/2020,"Added on 11/11/2020 by SOLD.CO.UK, London",020 8012 5320,"£740,000"
7,"Oakham Drive, Bromley, BR2 0XE",4 bedroom link detached house for sale,0.49 miles from station,"Pleased to offer this spacious four bedroom family home. A mere 10 minute walk from Bromley South mainline train station in the heart of The London Borough of Bromley.
This link detached home well situated in a family friendly cul-de-sac is ideal for commuters and professionals loo...",Reduced on 21/10/2020,"Reduced on 21/10/2020 by emoov, Nationwide",020 3324 1605,"£700,000"
8,,Property,nan,,,,,
9,,Property,nan,,,,,
10,,Property,nan,,,,,
11,,Property,nan,,,,,
12,,Property,nan,,,,,
13,,Property,nan,,,,,
14,,Property,nan,,,,,
15,,Property,nan,,,,,
16,,Property,nan,,,,,
17,,Property,nan,,,,,
18,,Property,nan,,,,,
19,,Property,nan,,,,,
20,,Property,nan,,,,,
21,,Property,nan,,,,,
22,,Property,nan,,,,,
23,,Property,nan,,,,,
24,,Property,nan,,,,,
0,"Page Heath Lane, Bromley, BR1",3 bedroom detached house for sale,0.89 miles from station,"An attractive, individual 1930s three-bedroom house which was built in a cottage style and now offers scope for improvement and enlargement, subject to the usual consents. EPC Rating: E",Reduced on 04/11/2020,"Reduced on 04/11/2020 by George Proctor & Partners, Bickley Estate Office",020 8012 2462,"£775,000"
1,Grasmere Road Bromley BR1,7 bedroom detached house for sale,0.92 miles from station,"Designed by architect W.A Williams in the 19th century, this stunning seven bedroom period property offers over 6,600 sqft of accommodation punctuated by a wealth of character and original period features. Energy Efficiency Rating E.",Added on 29/07/2020,"Added on 29/07/2020 by Unique, Langford Russell Bromley",020 8012 5185,"£1,895,000"
2,"Rodway Road, Bromley, Kent, BR1",9 bedroom detached house for sale,0.90 miles from station,"Guide Price £1.750,000 - £2.000,000 Set in one of Bromley's most prestigious roads, is this substantial nine bedroom, four bathroom Victorian double fronted detached house with a generous driveway, arranged over 5358 sq. ft. Much of the character remains as most of the period de...",Added on 27/10/2020,"Added on 27/10/2020 by Sinclair Hammelton, Bromley - Sales",020 8012 3328,"£1,750,000"
